
Gurobi 11.0.1 (linux64) logging started Tue Feb 11 21:12:10 2025

Set parameter LogFile to value "ASAD6_solver_completo.log"
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "Ubuntu 22.04.4 LTS")

CPU model: AMD Ryzen 5 5500U with Radeon Graphics, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Optimize a model with 122881 rows, 21680 columns and 549658 nonzeros
Model fingerprint: 0x6f08a766
Variable types: 12944 continuous, 8736 integer (0 binary)
Coefficient statistics:
  Matrix range     [9e-02, 1e+07]
  Objective range  [2e-04, 2e-04]
  Bounds range     [1e+00, 2e+06]
  RHS range        [1e+00, 1e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint rest_define_EstoqueEB06_PRDT_C2_d01_h02 by 597.891624732
MIP start from previous solve did not produce a new incumbent solution

Presolve removed 104471 rows and 11236 columns
Presolve time: 2.51s
Presolved: 18410 rows, 10444 columns, 177983 nonzeros
Variable types: 5223 continuous, 5221 integer (3346 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   11827   -1.8892944e+02   0.000000e+00   4.960048e+03      5s
   20785   -1.6499472e+02   0.000000e+00   2.924770e+02     10s
Concurrent spin time: 0.00s

Solved with dual simplex

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25803   -1.5778481e+02   0.000000e+00   0.000000e+00     13s

Root relaxation: objective -1.577848e+02, 25803 iterations, 9.89 seconds (9.52 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -157.78481    0 1338          - -157.78481      -     -   15s
     0     0 -158.12410    0 1319          - -158.12410      -     -   16s
Another try with MIP start
     0     0 -163.22580    0 1669          - -163.22580      -     -   23s
     0     0 -163.25999    0 1699          - -163.25999      -     -   23s
     0     0 -167.91953    0 1730          - -167.91953      -     -   24s
     0     0 -167.91953    0 1607          - -167.91953      -     -   25s
     0     0 -167.91953    0 1609          - -167.91953      -     -   25s
     0     0 -167.91953    0 1613          - -167.91953      -     -   25s
     0     0 -168.25242    0 1813          - -168.25242      -     -   28s
     0     0 -168.26255    0 1986          - -168.26255      -     -   31s
     0     0 -168.26255    0 1781          - -168.26255      -     -   32s
     0     0 -168.26255    0 1798          - -168.26255      -     -   32s
     0     0 -168.26255    0 1703          - -168.26255      -     -   33s
     0     0 -168.26255    0 1731          - -168.26255      -     -   33s
     0     0 -168.26255    0 1731          - -168.26255      -     -   33s
     0     0 -171.16355    0 2060          - -171.16355      -     -   41s
     0     0 -171.48008    0 1926          - -171.48008      -     -   43s
     0     0 -171.51504    0 1825          - -171.51504      -     -   44s
     0     0 -171.51813    0 1733          - -171.51813      -     -   44s
     0     0 -172.17518    0 1747          - -172.17518      -     -   45s
     0     0 -172.19033    0 1716          - -172.19033      -     -   46s
     0     0 -172.19061    0 1715          - -172.19061      -     -   46s
     0     0 -178.40551    0 1726          - -178.40551      -     -   50s
     0     0 -178.68422    0 1805          - -178.68422      -     -   52s
     0     0 -178.71645    0 1786          - -178.71645      -     -   52s
     0     0 -178.71770    0 1743          - -178.71770      -     -   52s
     0     0 -180.68041    0 1808          - -180.68041      -     -   54s
     0     0 -181.50990    0 1843          - -181.50990      -     -   56s
     0     0 -181.53538    0 1907          - -181.53538      -     -   57s
     0     0 -181.55340    0 1751          - -181.55340      -     -   57s
     0     0 -181.56228    0 1783          - -181.56228      -     -   57s
     0     0 -181.56323    0 1795          - -181.56323      -     -   57s
     0     0 -182.25227    0 1907          - -182.25227      -     -   59s
     0     0 -182.51495    0 1809          - -182.51495      -     -   60s
     0     0 -182.52904    0 1829          - -182.52904      -     -   61s
     0     0 -182.53201    0 1819          - -182.53201      -     -   61s
     0     0 -183.34044    0 1979          - -183.34044      -     -   63s
     0     0 -183.77199    0 1985          - -183.77199      -     -   64s
     0     0 -183.95425    0 1949          - -183.95425      -     -   65s
     0     0 -183.99172    0 1955          - -183.99172      -     -   65s
     0     0 -184.01194    0 1960          - -184.01194      -     -   66s
     0     0 -184.01327    0 1928          - -184.01327      -     -   66s
     0     0 -184.50480    0 1916          - -184.50480      -     -   68s
     0     0 -184.55451    0 1940          - -184.55451      -     -   69s
     0     0 -184.57280    0 1934          - -184.57280      -     -   69s
     0     0 -184.59060    0 1949          - -184.59060      -     -   70s
     0     0 -184.59616    0 1968          - -184.59616      -     -   71s
     0     0 -184.59636    0 1935          - -184.59636      -     -   71s
     0     0 -186.25409    0 1903          - -186.25409      -     -   74s
     0     0 -186.95572    0 1902          - -186.95572      -     -   75s
     0     0 -187.14579    0 1845          - -187.14579      -     -   76s
     0     0 -187.19300    0 1915          - -187.19300      -     -   77s
     0     0 -187.20687    0 1912          - -187.20687      -     -   77s
     0     0 -187.20917    0 1927          - -187.20917      -     -   77s
     0     0 -187.99217    0 1903          - -187.99217      -     -   79s
     0     0 -188.03968    0 1945          - -188.03968      -     -   80s
